,Title,Keywords,Topics,High-Level Keyword(s),Abstract
76,A Robust Bayesian Truth Serum for Non-binary Signals,mechanism design payment scheme incentive compatibility elicitation,"E-Commerce
Game Theory
Mechanism Design
Multiagent Systems (General/other)",Multiagent Systems,"several mechanisms have been proposed for incentivizing truthful reports of a private signals owned by rational agents, among them the peer prediction method and the bayesian truth serum. the robust bayesian truth serum (rbts) for small populations and binary signals is particularly interesting since it does not require a common prior to be known to the mechanism. we further analyze the problem of the common prior not known to the mechanism and give several results regarding the restrictions that need to be placed in order to have an incentive compatible mechanism. moreover, we construct a bayes-nash incentive compatible scheme called multi-valued rbts that generalizes rbts to operate on both small populations and non-binary signals."
77,Answering Counting Aggregate Queries over Ontologies of DL-Lite Family,ontology description logics dl-lite query answering aggregate queries certain answers,"Ontologies
Knowledge-Based Systems (General/Other)
Computational Complexity of Reasoning
Description Logics","Knowledge-Based Systems
Knowledge Representation and Reasoning","one of the main applications of description logics is the ontology-based data access model, which requires algorithms for query answering over ontologies. in fact, some description logics, like those in the dl-lite family, are designed so that simple queries, such as conjunctive queries, are efficiently computable. in this paper we study counting aggregate queries over ontologies, i.e. queries which use aggregate functions count and count distinct. we propose an intuitive semantics for certain answers for these queries, which conforms to the open world assumption. we compare our semantics with other approaches that have been proposed in different contexts. we establish data and combined computational complexity for the problems of answering counting aggregate queries over ontologies for several variants of dl-lite."
78,An Extended GHKM Algorithm for Inducing Lambda-SCFG,semantic parsing synchronous context-free grammar lambda calculus rule extraction,Semantics and Summarization,Natural Language Processing,"semantic parsing, which aims at mapping a natural language (nl) sentence into its formal meaning representation (e.g., logical form), has received increasing attention in recent years. while synchronous context-free grammar (scfg) augmented with lambda calculus (lambda-scfg) provides an effective mechanism for semantic parsing, how to learn such lambda-scfg rules still remains a challenge because of the difficulty in determining the correspondence between nl sentences and logical forms. to alleviate this structural divergence problem, we extend the ghkm algorithm, which is a state-of-the-art algorithm for learning synchronous grammars in statistical machine translation, to induce lambda-scfg from pairs of nl sentences and logical forms. by treating logical forms as trees, we reformulate the theory behind ghkm that gives formal semantics to the alignment between nl words and logical form tokens. experiments on the geoquery dataset show that our semantic parser achieves an f-measure of 90.2%, the best result published to date."
79,On the Social Welfare of Mechanisms for Repeated Batch Matching,online matching social welfare kidney exchange job market,"Mechanism Design
Sequential Decision Making","Multiagent Systems
Reasoning under Uncertainty","we study hybrid online-batch matching problems, where agents arrive continuously, but are only matched in periodic rounds, when many of them can be considered simultaneously. agents not getting matched in a given round remain in the market for the next round. this setting models several scenarios of interest, including many job markets as well as kidney exchange mechanisms. we consider the social utility of two commonly used mechanisms for such markets: one that aims for stability in each round (greedy), and one that attempts to maximize social utility in each round (max-weight). surprisingly, we find that in the long term, the social utility of the greedy mechanism can be higher than that of the max-weight mechanism. we hypothesize that this is because the greedy mechanism behaves similarly to a soft threshold mechanism, where all connections below a certain threshold are rejected by the participants in favor of waiting until the next round. motivated by this observation, we propose a method to approximately calculate the optimal threshold for an individual agent to use based on characteristics of the other agents participating, and demonstrate experimentally that social utility is high when all agents use this strategy. thresholding can also be applied by the mechanism itself to improve social welfare; we demonstrate this with an example on graphs that model pairwise kidney exchange."
80,Multi-Label Learning with PRO Loss,machine learning multi-label learning learning algorithm,"Classification
Preferences/Ranking Learning",Machine Learning,"multi-label learning approaches assign multiple labels to one object. however, besides differentiating relevant labels from irrelevant ones, it is often required in real applications to rank the \textit{relevant} labels for an object, while the ranking of \textit{irrelevant} labels is not so valuable. such a requirement, however, cannot be well satisfied by existing approaches. one crucial reason is that most approaches were designed to optimize existing criteria, yet there is no criterion which encodes the above requirement. in this paper, we design a new criterion, \textsf{pro loss}, which concerns about the prediction on all labels as well as the ranking of relevant labels, while neglecting the ranking of irrelevant ones. we then propose the prosvm approach which optimizes the \textsf{pro loss} efficiently using alternating direction method of multipliers. we further improve efficiency with an upper approximation that reduces the number of constraints from $o(t^2)$ to $o(t)$, where $t$ is the number of labels. experiments show that our proposals are not only superior to state-of-the-art approaches on \textsf{pro loss}, but also highly competitive on existing evaluation criteria."
81,Backdoors to Normality for Disjunctive Logic Programs,backdoors parameterized complexity computational complexity answer set programming,"Logic Programming
Nonmonotonic Reasoning",Knowledge Representation and Reasoning,"over the last two decades, propositional satisfiability (sat) has become one of the most successful and widely applied techniques for the solution of np-complete problems. the aim of this paper is to investigate theoretically how sat can be utilized for the efficient solution of problems that are harder than np or co-np. in particular, we consider the fundamental reasoning problems in propositional disjunctive answer set programming (asp), brave reasoning and cautious reasoning, which ask whether a given atom is contained in at least one or in all answer sets, respectively. both problems are located at the second level of the polynomial hierarchy and thus assumed to be harder than np or co-np. one cannot transform these two reasoning problems to sat in polynomial time, unless the polynomial hierarchy collapses. we show that certain structural aspects of disjunctive logic programs can be utilized to break through this complexity barrier, using new techniques from parameterized complexity. in particular, we exhibit transformations from brave and cautious reasoning to sat that run in time o(2^k n^2) where k is a structural parameter of the instance and n the input size. in other words, the reduction is fixed-parameter tractable for parameter k. as the parameter k we take the size of a smallest backdoor with respect to the class of normal (i.e., disjunction-free) programs. such a backdoor is a set of atoms that when deleted makes the program normal. in consequence, the combinatorial explosion, which is expected when transforming a problem from the second level of the polynomial hierarchy to the first level, can now be confined to the parameter k, while the running time of the reduction is polynomial in the input size n, where the order of the polynomial is independent of k. we show that such a transformation is not possible if we consider backdoors with respect to tightness instead of normality."
82,A First-Order Formalization of Commitments and Goals,agent commitments multiagent systems planning,"Agent Communication
Planning (General/Other)","Multiagent Systems
Reasoning about Plans, Processes, and Actions","commitments have been shown to model interactions in multiagent systems in a computationally realizable yet high-level manner without compromising the autonomy and heterogeneity of the member agents. recent work has shown how to combine commitments with goals and apply methods such as planning by which agents can determine their actions. however, previous approaches to modeling commitments have been confined to propositional representations, which limits their applicability in practical cases. we propose a first-order representation and reasoning technique for commitments and goals that accommodates settings where the commitments and goals are templatic and may be applied repeatedly with differing bindings for domain objects. doing so not only leads to a more perspicuous modeling, it also enables us to support a variety of practical patterns. in particular, our approach can handle the piecemeal progress, consolidation, delegation, and compensation of commitments."
83,A Morphogenetically Assisted Design Variation Tool,automated design functional blue prints design automation,"Constraint Satisfaction (General/other)
Other Applications","Constraints and Satisfiability
Applications","the complexity and tight integration of electromechanical systems  often makes them ``brittle'' and hard to modify in response to  changing requirements.   we aim to remedy this by capturing expert knowledge in functional  blueprints, which is an idea inspired by the regulatory processes that occur during natural morphogenesis. we  then apply this knowledge  in an intelligent design variation tool.  when a user modifies a design, our tool modifies other components in  response, so that the design remains integrated and functional.  this is accomplished by blending the actions of functional  blueprints to incrementally navigate the space of viable designs,  obviating the need for costly search or constraint solving.  we also refine the concept of functional blueprints and discuss  practical issues in applying them to electromechanical systems.  finally, we validate the approach by applying our prototype tool to  create variants of a minidroid robot and by empirical evaluation of  the convergence dynamics of networks of functional blueprints."
84,Towards Cohesive Anomalies Mining,data mining clustering rare pattern,Data Mining and Knowledge Discovery,Machine Learning,"in some applications, such as bioinformatics, social network analysis, and computational criminology, it is desirable to find compact clusters formed by a (very) small portion of objects in a large data set. although in general it is still a clustering problem, it cannot be served well by the conventional clustering methods since generally those methods try to assign most of the data objects into clusters. since such clusters are comprised of a small number of objects, they are extraordinary and anomalous with respect to the entire data set. in this paper, we model this novel and application-inspired task as the problem of mining cohesive anomalies. we propose a general framework and a principled approach to tackle the problem. the experimental results on both synthetic and real data sets verify the effectiveness and efficiency of our approach."
85,Boosting Lifted Likelihood Maximization for MAP Inference by Virtual Evidence,map inference likelihood maximization lifted inference pseudo evidence,"Graphical Models (Other)
Probabilistic Inference
Relational Probabilistic Models",Reasoning under Uncertainty,"by handling whole sets of indistinguishable objects together, lifted belief propagation approaches have rendered large, previously intractable, probabilistic inference problems quickly solvable. in this paper, we show that kumar and zilberstein’s likelihood maximization approach to map inference is liftable, too, and actually provides additional structure for optimization. specifically, it has been recognized that some pseudo marginals may converge quickly, turning intuitively into pseudo evidence. this additional evidence typically changes the structure of the lifted network: it may refine or coarsen it. the current lifted network, however, can be viewed as an upper bound on the size of the lifted network required to finish likelihood maximization. consequently, we update the structure of the lifted network only if the pseudo evidence yields a smaller network, which can efficiently be computed on the current lifted network. our experimental results on mlns, ising models, image segmentation and relational entity resolution demonstrate that this ``bootstrapped'' lifted likelihood maximization finds map assignments comparable to those found by kumar and zilberstein's original approach, but in a fraction of the time."
86,Automating Collusion Detection in Sequential Games,sequential games agent evaluation collusion,"Game Theory
Multiagent Learning
Evaluation and Analysis (Multiagent Systems)
Multiagent Systems (General/other)",Multiagent Systems,"collusion is the practice of two parties deliberately cooperating to the detriment of others. while such behavior may be desirable in certain circumstances, in many it is considered dishonest and unfair. if agents otherwise hold strictly to the established rules, though, collusion can be challenging to police. in this paper, we introduce an automatic method for collusion detection in sequential games. we achieve this through a novel object, called a collusion table, that aims to capture the effects of collusive behavior, i.e., advantage to the colluding parties, without committing to any particular pattern of behavior. we demonstrate the effectiveness of this method in the domain of poker, a popular game where collusion is prohibited."
87,Instructor Rating Markets,prediction markets mechanism design manipulation and collusion,"Bayesian Learning
Auctions and Market-Based Systems
Coordination and Collaboration
Game Theory
Mechanism Design
Computational Social Science
Human-Computer Interaction
Decision/Utility Theory
Probabilistic Inference
Uncertainty in AI (General/Other)","Machine Learning
Multiagent Systems
Applications
Multidisciplinary Topics
Reasoning under Uncertainty","we describe the design of instructor rating markets (irms) where human participants interact through intelligent automated market-makers in order to provide dynamic collective feedback to instructors on the progress of their classes. the markets are among the first to enable the controlled study of prediction markets where traders can affect the very outcomes they are trading on. more than 200 students across a university campus participated in markets for ten classes in the fall 2010 semester. in this paper, we describe how we designed these markets in order to elicit useful information, and analyze data from the deployment. we show that market prices convey useful information on future instructor ratings and contain significantly more information than do past ratings. the bulk of useful information contained in the price of a particular class is provided by students who are in that class, showing that the markets are serving to disseminate insider information. at the same time, we find little evidence of attempted manipulation by raters. the markets are also a laboratory for comparing different market designs and the resulting price dynamics, and we show how they can be used to compare market making algorithms."
88,Extending STR to a Higher-Order Consistency,propagation higher-order consistencies table constraints,Constraint Satisfaction,Constraints and Satisfiability,"one of the most widely studied classes of constraints in constraint programming (cp) is that of table constraints. numerous specialized filtering algorithms, enforcing the wellknown property called generalized arc consistency (gac), have been developed for such constraints. among the most successful gac algorithms for table constraints, we find variants of simple tabular reduction (str), like str2. in this paper, we propose an extension of str-based algorithms that achieves full pairwise consistency (fpwc), a consistency stronger than gac and max restricted pairwise consistency (maxrpwc). our approach involves counting the number of occurrences of specific combinations of values in constraint intersections. importantly, the worst-case time complexity of one call to the basic filtering procedure at the heart of our new algorithm is quite close to that of str algorithms. experiments demonstrate that our method can outperform str2 in many classes of problems, being significantly faster in some cases. also, it is clearly superior to maxrpwc+, an algorithm that has been recently proposed."
89,SMILe: Shuffled Multiple-Instance Learning,multiple-instance learning resampling active learning,"Active Learning
Classification",Machine Learning,"resampling techniques such as bagging are often used in supervised learning to produce more accurate classifiers. in this work, we show that multiple-instance learning admits a different form of resampling, which we call shuffling. in shuffling, we resample instances in such a way that the resulting bags are likely to be correctly labeled. we show that resampling results in both a reduction of bag label noise and a propagation of additional informative constraints to a multiple-instance classifier. we empirically evaluate shuffling in the context of multiple-instance classification and multiple-instance active learning and show that the approach leads to significant improvements in accuracy."
90,Joint inference of extraction and labelling via graph propagation for dictionary construction,information extraction graph propagation joint inference,"Information Extraction
Natural Language Processing (General/Other)",Natural Language Processing,"in this paper, we present an approach that jointly infers the boundaries of tokens and their labels to construct dictionaries for information extraction (ie). our approach for joint-inference is based on a graph propagation framework, and extends it in two novel ways. first, we extend the graph representation to capture ambiguities that occur during the token extraction phase. second, we modify the labeling phase (i.e. label propagation) to utilize this new representation, allowing evidence from labeling to be used for token extraction. our evaluation shows these extensions (and hence our approach) significantly improve the performance of the outcome dictionaries over pipeline-based approaches by preventing aggressive commitment. our evaluation also shows that our extensions over a base graph-propagation framework was able to improve the precision without hurting the recall."
91,Large-Scale Hierarchical Classification via Stochastic Perceptron,hierarchical classification large margin perceptron kernel,"Classification
Structured Prediction",Machine Learning,"the hierarchical classification (hc) problem with structured outputs is an important issue in machine learning and data mining. there are many state-of-the-art algorithms solving this problem. however, most of them suffer from high computational costs. to efficiently solves this problem, we propose a large margin method based on stochastic perceptron (sp). differing from the conventional perceptron algorithm, we give a stochastic choice procedure to decide the direction of next iteration. this procedure leads to significant improvements in the classification accuracy in comparison with the conventional perceptron algorithm. we prove that after finite iterations the sp algorithm yields a sub-optimal solution with high probability when the input instances are separable. for large-scale and high-dimensional datasets, we devise a kernel sp algorithm, which dramatically reduces the memory space needed. the kernel sp algorithm has the merit of low space complexity as well as low time complexity. we conduct empirical analysis. the experimental results show that our approach achieves almost the same accuracy as the state-of-the-art algorithms on the real-world datasets, but with much less cpu running time."
92,Dynamic Minimization of Sentential Decision Diagrams,knowledge compilation binary decision diagrams dynamic reordering,Knowledge Representation (General/Other),Knowledge Representation and Reasoning,"the sentential decision diagram (sdd) is a recently proposed representation of boolean functions, containing ordered binary decision diagrams (obdds) as a distinguished subclass. while obdds are characterized by total variable orders, sdds are characterized more generally by structures called vtrees. as both obdds and sdds have canonical representations, searching for obdds and sdds of minimal size simplifies to searching for variable orders and vtrees, respectively. for obdds, there are effective heuristics for the dynamic ordering of variables, based on locally swapping variables. in this paper, we propose an analogous approach for sdds which navigates the space of vtrees via two operations: one based on tree rotations and a second based on swapping children in a vtree. we propose a particular heuristic for dynamically searching the space of vtrees, showing that it can find sdds that are an order-of-magnitude more concise than obdds found by cudd."
93,Salient Object Detection via Low-Rank and Structured Sparse Matrix Decomposition,salient object detection low rank structured sparsity matrix decomposition,"Cognitive Modeling
Vision, Object Recognition, and Perception
Robotics (General/Other)","Multidisciplinary Topics
Robotics","salient object detection provides an alternative solution to various image semantic understanding tasks such as object recognition, adaptive compression and image retrieval. recently, low-rank matrix recovery (lr) theory has been introduced into saliency detection, and achieves impressed results. however, the existing lr-based models neglect the underlying structure of images, and inevitably degrade the associated performance. in this paper, we propose a low-rank and structured sparse matrix decomposition (lsmd) model for salient object detection. in the model, a tree-structured sparsity-inducing norm regularization is firstly introduced to provide a hierarchical description of the image structure to ensure the completeness of the extracted salient object. the similarity of saliency values within the salient object is then guaranteed by the $\ell_\infty$-norm. finally, high-level priors are integrated to guide the matrix decomposition and enhance the saliency detection. experimental results on the largest public benchmark database show that our model outperforms existing lr-based approaches and other state-of-the-art methods, which verifies the effectiveness and robustness of the structure cues in our model."
94,Teaching Classification Boundaries to Humans,classification teaching classification human learning,"Classification
Supervised Learning (Other)
Computer-Aided Education
Cognitive Modeling","Machine Learning
Applications
Multidisciplinary Topics","given a classification task, what is the best way to teach the resulting boundary to a human? while machine learning techniques can provide excellent methods for finding the boundary, including the selection of examples in an online setting, they tell us little about how we would teach a human the same task. we propose to investigate the problem of example selection and presentation in the context of teaching humans, and explore a variety of mechanisms in the interests of finding what may work best. in particular, we begin with the baseline of random presentation and then examine combinations of several mechanisms: the indication of an example’s relative difficulty, the use of the shaping heuristic from the cognitive science literature (moving from easier examples to harder ones), and a novel kernel-based “coverage model” of the subject’s mastery of the task. from our experiments on 53 human subjects learning and performing a pair of synthetic classification tasks via our teaching system, we found that we can achieve the greatest gains with a combination of shaping and the coverage model."
95,Fast Equilibrium Computation for Infinitely Repeated Games,equilibrium computation repeated games folk theorem game theory nash equilibrium,Game Theory,Multiagent Systems,"it is known that an equilibrium of an infinitely repeated two-player game  (with limit average payoffs) can be computed in polynomial time, as  follows: according to the folk theorem, we compute minimax strategies for  both players to calculate the punishment values, and subsequently find a  mixture over outcomes that exceeds these punishment values. however, for  very large games, even computing minimax strategies can be prohibitive.  in this paper, we propose an algorithmic framework for computing  equilibria of repeated games that does not require linear programming and  that does not necessarily need to inspect all payoffs of the game. this  algorithm necessarily sometimes fails to compute an equilibrium, but we  mathematically demonstrate that most of the time it succeeds quickly on  uniformly random games, and experimentally demonstrate this for other  classes of games. this also holds for games with more than two players,  for which no efficient general algorithms are known."
96,Composition Games for Distributed Systems: the EU Grant games,group formation price of anarchy network games,"Coordination and Collaboration
Game Theory",Multiagent Systems,"we analyze ways by which people decompose into groups in distributed systems. we are interested in systems in which an agent can increase its utility by connecting to other agents, but must also pay a cost that increases with the size of the system. the right balance is achieved by the right size group of agents. we formulate and analyze three intuitive and realistic games and show how simple changes in the protocol can drastically improve the price of anarchy of these games. in particular, we identify two important properties for a low price of anarchy: agreement in joining the system, and the possibility of appealing a rejection from a system. we show that the latter property is especially important if there are some preexisting constraints regarding who may collaborate (or communicate) with whom."
97,"Ranking Scientific Articles by Exploiting Citations, Authors, Journals and Time Information",ranking scientific articles heterogenous network dynamic network,"Preferences/Ranking Learning
Relational/Graph-Based Learning
Computational Social Science","Machine Learning
Applications","ranking scientific articles is an important but challenging task, partly due to the dynamic nature of the evolving publication network. in this paper, we mainly focus on two problems: (1) how to rank articles in the heterogeneous network; and (2) how to use time information in the dynamic network in order to obtain a better ranking result. to tackle the problems, we propose a graph-based ranking method, which utilizes citations, authors, journals/conferences and the publication time information collaboratively. the experiments were carried out on two public datasets. the result shows that our approach is practical and ranks scientific articles more accurately than the state-of-art methods."
98,Optimizing Objective Function Parameters for Strength in Computer Game-Playing,game playing machine learning objective function evaluation function shogi,"Optimization
Evolutionary Computation
Supervised Learning (Other)
Games and Game Playing","Heuristic Search and Optimization
Machine Learning
Applications","the learning of evaluation functions from game records has been widely studied in the field of computer game-playing. conventional learning methods optimize the evaluation function parameters by using the game records of expert players in order to imitate their plays. they utilize objective functions to increase the agreement between the moves selected by game-playing programs and the moves in the records of actual games. such conventional methods, however, have a problem in that increasing this agreement does not always improve the strength of the program. indeed, it is not clear how the agreement relates to the strength of the generated program. to address this problem, this paper presents a learning method to optimize objective function parameters for strength of playing. the proposed method employs an evolutionary learning algorithm with the elo ratings of programs, which denote the strength, as their fitness scores. experimental results show that the proposed method is effective and that programs that learn using the objective function produced by the proposed method are superior to those that learn using conventional objective functions."
99,Mixed Heuristic Local Search for Protein Structure Prediction,heuristics local search large neighborhood search protein structure prediction lattice models,"Constraint Optimization
Heuristic Search
Optimization
Metareasoning and Metaheuristics
Evaluation and Analysis (Search and Optimization)
Search (General/Other)
Biomedical / Bioinformatics","Constraints and Satisfiability
Heuristic Search and Optimization
Applications","protein structure prediction is an unsolved problem in computational biology. one great difficulty is due to the unknown factors in the actual energy function. moreover, the energy models available are often not very informative particularly when spatially similar structures are compared during search. we introduce several novel heuristics to augment the energy model and present a new local search algorithm that exploits these heuristics in a mixed fashion. although the heuristics individually are weaker in performance than the energy function, their combination interestingly produces stronger results. for standard benchmark proteins on the face centered cubic lattice and a realistic 20x20 energy model, we obtain structures with significantly lower energy than those obtained by the state-of-the-art algorithms. we also report results for these proteins using the same energy model on the cubic lattice."
100,HC-Search: Learning Heuristics and Cost Functions for Structured Prediction,structured prediction learning for search imitation learning,Structured Prediction,Machine Learning,"structured prediction is the problem of learning a function from structured inputs to structured outputs with prototypical examples being part-of-speech tagging and image labeling. inspired by the recent successes of search-based structured prediction, we introduce a new framework for structured prediction called { hc-search}. given a structured input, the framework uses a search procedure guided by a learned heuristic h to uncover high quality candidate outputs and then uses a separate learned cost function c to select a final prediction among those outputs. we can decompose the regret of the overall approach into the loss due to h not leading to high quality outputs, and the loss due to c not selecting the best among the generated outputs. guided by this decomposition, we minimize the overall regret in a greedy stage-wise manner by first training h to quickly uncover high quality outputs via imitation learning, and then training c to correctly rank the outputs generated via h according to their true losses. experiments on several benchmark domains show that our approach significantly outperforms the state-of-the-art methods."
101,Walking on Minimax Paths for k-NN Search,k nearest neighbors link-based dissimilarity minimax paths,Relational/Graph-Based Learning,Machine Learning,"link-based dissimilarity measures, such as shortest path or euclidean commute time distance, base their distance on paths between nodes of a weighted graph. these measures are known to be better suited to data manifold with nonconvex-shaped clusters, compared to euclidean distance, so that k-nearest neighbor (nn) search is improved in such metric spaces. in this paper we present a new link-based dissimilarity measure based on minimax paths between nodes. two main benefits of minimax path-based dissimilarity measure are: (1) only a subset of paths is considered to make it scalable, while euclidean commute time distance considers all possible paths; (2) it better captures nonconvex-shaped cluster structure, compared to shortest path distance. we define the total cost assigned to a path between nodes as l_p norm of intermediate costs of edges involving the path, showing that minimax path emerges from our l_p norm over paths framework. we also define minimax distance as the intermediate cost of the longest edge on the minimax path, then present a greedy algorithm to compute k smallest minimax distances between a query and n data points in o(log n + klog k) time. numerical experiments demonstrate that our minimax k-nn algorithm reduce the search time by several orders of magnitude, compared to existing methods, while the quality of k-nn search is significantly improved over euclidean distance."
102,A Concave Conjugate Approach for Nonconvex Penalized Regression with the MCP Penalty,nonconvex penalized regression concave conjugate minimax concave plus penalty (mcp) augmented lagrange multiplier d.c. programming,"Optimization
Dimension Reduction/Feature Selection
Supervised Learning (Other)","Heuristic Search and Optimization
Machine Learning","the minimax concave plus penalty (mcp) function has been demonstrated to be effective in nonconvex penalization for feature selection. in this paper we propose a novel construction approach for mcp. in particular, we show that mcp can be derived from a concave conjugate of the euclidean distance function. this construction approach in turn leads us to an augmented lagrange multiplier method for solving the penalized regression problem with the mcp penalty. in our method each feature corresponds to a distinct tuning parameter, and these tuning parameters can be automatically updated. we also develop a d.c. (difference of convex functions) programming approach for the penalized regression problem using the notion of concave conjugate. we show that the augmented lagrange multiplier method degenerates into the d.c. method under specific conditions. we conduct experimental analysis on a set of simulated data. the result is encouraging."
103,Convex Subspace Representation Learning from Multi-view Data,multi-view learning subspace representation learning convex optimization,"Dimension Reduction/Feature Selection
Unsupervised Learning (Other)",Machine Learning,"learning from multi-view data is important in many applications. in this paper, we propose a novel convex subspace representation learning method for multi-view clustering. we ﬁrst formulate the subspace learning in multiple views as one joint optimization problem with a common subspace representation matrix and a group sparsity inducing norm. by exploiting the properties of dual norms, we then show a convex min-max dual formulation with a sparsity inducing trace norm can be obtained. we develop a proximal bundle optimization algorithm to globally solve the min-max optimization problem. our empirical study shows the proposed subspace representation learning can eﬀectively facilitate the multi-view clustering task and outperform alternative multi-view clustering methods across diﬀerent scenarios."
104,Time-dependent Trajectory Regression on Road Networks via Multi-Task Learning,trajectory data mining temporal smoothness multi-task learning fused lasso,"Data Mining and Knowledge Discovery
Transfer, Adaptation, Multitask Learning",Machine Learning,"road travel costs are important knowledge hidden in large-scale gps trajectory data set, the discovery of which can benefit many applications such as intelligent route planning and automatic driving navigation. while there are previous studies which tackled this task by modeling it as a regression problem with spatial smoothness taken into account, they unreasonably assumed that the latent cost of each road remains unchanged over time. other works on route planning and recommendation that have considered temporal factors simply assumed temporal dynamics be known in advance as a parametric function over time, which is not faithful to reality. to overcome these limitations, in this paper, we propose an extension to a previous static trajectory regression framework by learning the temporal dynamics of road travel costs in an innovative non-parametric manner which can effectively overcome temporal sparsity problem. in particular, we unify multiple different trajectory regression problems in a multi-task framework by introducing a novel cross-task regularization factor which encourages temporal smoothness on the change of road travel costs. we then propose an efficient block coordinate descent method to solve the resulting problem by exploiting its separable structures and prove its convergence to global optimum. experiments conducted on both synthetic and real data sets demonstrate the effectiveness of our method and its improved accuracy on travel time prediction."
105,Parameterized Complexity Results for Case-Based Planning,parametrized complexity theoretical foundations case-based planning plan reuse,"Computational Complexity of Reasoning
Case-Based Reasoning
Replanning and Plan Repair
Planning (General/Other)","Knowledge Representation and Reasoning
Machine Learning
Reasoning about Plans, Processes, and Actions","planning is a notoriously difficult computational problem of high worst-case complexity. researchers have been investing significant efforts to develop heuristics or restrictions to make planning practically feasible. case-based planning is one of the heuristic approaches where one tries to reuse previous experience with solving similar problems in order to avoid some of the planning effort. empirical work indicates that despite the need to store and retrieve the experiences, case-based planning can compete with traditional generative planning.  in this paper we provide theoretical results that identify situations in which the case-based approach is provably tractable. we perform our analysis in the framework of parameterized complexity which supports a rigorous worst-case complexity analysis that takes structural properties of the input into account in terms of parameters. a central notion of parameterized complexity is fixed-parameter tractability which extends the classical notion of polynomial-time tractability by utilising the affect of parameters.  we draw a detailed map of the parameterized complexity landscape of several variants of problems that arise in the context of case-based planning. in particular, we consider the problem of reusing an existing plan, imposing various restrictions in terms of parameters, such as the number of steps that can be added to the existing plan to turn it into a solution of the planning instance at hand."
106,Structured Kernel-Based Reinforcement Learning,reinforcement learning markov decision processes sequential decision making kernels,"Reinforcement Learning
Sequential Decision Making","Machine Learning
Reasoning under Uncertainty","kernel-based reinforcement learning (kbrl) is a popular approach to learning non-parametric value function approximations. in this paper, we present structured kbrl, a paradigm for kernel-based rl that allows for modeling the structure of problems. real-world problems usually involve structure and can be solved more efficiently when the structure is modeled. our paper makes the following three contributions. first, we motivate the idea of structured kbrl, define a corresponding backup operator, and prove that the operator is a contraction. second, we show how to rewrite the operator such that it can be applied efficiently. our analysis reveals that its fixed point is the optimal value function in a special factored mdp. third, we evaluate our method on a synthetic problem and compare it to state-of-the-art kbrl baselines. in most cases, we learn better policies than the baselines from an order of magnitude less training data."
107,A Kernel Density Estimate-based approach to Component Goodness Modeling,run-time fault diagnosis bayesian probability update component failure probability,"Diagnosis and Abductive Reasoning
Reasoning with Beliefs
Bayesian Learning
Uncertainty in AI (General/Other)","Knowledge Representation and Reasoning
Machine Learning
Reasoning under Uncertainty","intermittent fault localization approaches account for the fact that faulty components may fail intermittently by considering a parameter (known as goodness) that quantifies the probability that faulty components may still exhibit correct behavior. current, state-of-the-art approaches (1) assume that this goodness probability is context independent and (2) do not provide means for integrating past diagnosis experience in the diagnostic mechanism. in this paper, we present a novel approach, coined non-linear feedback-based goodness estimate (nfge), that uses kernel density estimations (kde) to address such limitations. we evaluated the approach with both synthetic and real data, yielding lower estimation errors, thus increasing the diagnosis performance."
108,Timelines with Uncontrollability,timeline planning uncontrollability temporal planning satisfiability modulo theory,"Scheduling
Temporal Planning
Planning (General/Other)","Reasoning about Plans, Processes, and Actions","timelines have been proposed as an alternative to pddl-based modeling formalisms, to deal with domains where the temporal aspects are predominant, and have been used in many real-world applications. despite their practical success, a major limitation is the inability to deal with temporal uncertainty. this feature is pivotal in domains where the plan executor cannot decide the actual duration of some activities and the goal achievement must be guaranteed under a given set of assumptions on action durations. in this paper we make the following contributions. first, we propose a comprehensive framework, that (conservatively) extends the state of the art timeline approach with temporal uncertainty. we provide a semantic foundation to the various forms of planning problems. second, we focus on the problem of producing time-triggered plans that are robust with respect to temporal uncertainty, under a bounded horizon. in this setting, we present the first complete algorithm, and we show how it can be made practical by leveraging the power of satisfiability modulo theories."
109,A Tensor-Variate Gaussian Process for Classification of Multidimensional Structured Data,tensor multilinear algebra gaussian processes classification kernel method,"Classification
Kernel Methods
Supervised Learning (Other)",Machine Learning,"as tensors provide a natural and efficient representation of multidimensional structured data, in this paper, we consider probabilistic multinomial probit classification for tensor-variate inputs with gaussian processes (gp) priors placed over the latent function.  in order to take into account the underlying multimodes structure information within the model, we propose a framework of probabilistic product kernels for tensorial data based on a generative model assumption. more specifically, it can be interpreted as mapping tensors to probability density function space and measuring similarity by an information divergence. since tensor kernels enable us to model input tensor observations, the proposed tensor-variate gp is considered as both a generative and discriminative model. furthermore, a fully variational bayesian treatment for multiclass gp classification with multinomial probit likelihood is employed to estimate the hyperparameters and infer the predictive distributions. simulation results on both synthetic data and a real world application of human action recognition in videos demonstrate the effectiveness and advantages of the proposed approach on classification of multiway tensor data, especially in the case that the underlying structure information among multimodes is discriminative for the classification task."
